試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-10-17,PFUブルーキャッツ,14,,島畑奈緒子,5,■,■,■,■,■,3,1,0,33.3,33.3,0.20,0,0,0,-,0,-,20,1,3,6,8.8,0,0,0,-,,,,,,,,
2020-10-17,PFUブルーキャッツ,15,,石川真奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,PFUブルーキャッツ,33,,和才奈々美,2,□,nan,nan,□,nan,2,1,1,50.0,0.0,0.50,0,0,0,-,0,-,1,0,0,0,0.0,2,2,0,100.0,,,,,,,,
2020-10-17,PFUブルーキャッツ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,196,72,6,36.7,33.7,14.40,9,3,1,33.3,4,0.80,100,2,19,24,3.2,90,39,18,53.3,177,63,9,35.6,12,2.40,5.6,58.1
2020-10-17,KUROBEアクアフェアリーズ,1,,丸山紗季,2,□,nan,nan,nan,□,0,0,0,,,-,0,0,0,-,0,-,4,0,1,1,0.0,2,1,0,50.0,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,3,,間橋香織,5,■,■,■,■,■,36,15,1,41.7,38.9,3.00,0,0,0,-,5,1.00,12,0,2,4,4.2,9,5,4,77.8,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,4,L,馬場ゆりか,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,9,,舛田紗淑,5,■,■,■,■,■,45,17,1,37.8,35.6,3.40,5,3,1,60.0,2,0.40,23,1,5,6,5.4,35,19,4,60.0,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,10,,リーシモーン,5,■,■,■,■,■,56,19,4,33.9,26.8,3.80,15,5,3,33.3,3,0.60,13,0,3,2,-1.9,0,0,0,-,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,11,,杉原若葉,2,nan,□,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,12,,浮島杏加子,1,nan,nan,□,nan,nan,2,1,0,50.0,50.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,13,,梅津憂理,1,nan,□,nan,nan,nan,3,1,1,33.3,0.0,1.00,1,1,0,100.0,0,-,2,0,0,2,25.0,1,0,0,0.0,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,14,,細沼綾,5,■,■,■,■,■,20,7,2,35.0,25.0,1.40,0,0,0,-,2,0.40,14,0,0,8,14.3,4,1,2,50.0,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,15,,小西愛衣,5,■,■,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,0,-,17,0,2,5,4.4,1,0,1,50.0,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,16,,星加輝,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,18,L,立石優華,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,11,6,53.8,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,19,,小杉凜華,5,■,■,■,■,■,13,3,0,23.1,23.1,0.60,0,0,0,-,0,-,15,0,0,3,5.0,2,1,0,50.0,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,20,,戸部真由香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,KUROBEアクアフェアリーズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,177,63,9,35.6,30.5,12.60,21,9,4,42.9,12,2.40,103,1,13,32,5.6,80,38,17,58.1,196,72,6,36.7,4,0.80,3.2,53.3
2020-10-17,日立リヴァーレ,1,,上坂瑠子,3,nan,nan,□,■,■,28,12,1,42.9,39.3,4.00,0,0,0,-,1,0.33,8,0,1,3,6.2,8,5,1,68.8,,,,,,,,
2020-10-17,日立リヴァーレ,2,,小野寺友香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,日立リヴァーレ,3,,堀井有蘭,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,日立リヴァーレ,4,,窪田美侑,5,■,■,■,■,■,16,6,2,37.5,25.0,1.20,2,1,0,50.0,3,0.60,20,1,2,5,8.8,38,15,11,53.9,,,,,,,,
2020-10-17,日立リヴァーレ,5,,タップハンナ,5,■,■,■,■,■,27,12,0,44.4,44.4,2.40,0,0,0,-,5,1.00,14,1,3,3,7.1,0,0,0,-,,,,,,,,
2020-10-17,日立リヴァーレ,6,,芳賀舞波,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,日立リヴァーレ,7,L,齋藤加奈子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,日立リヴァーレ,8,,佐藤美弥,4,nan,□,□,■,■,0,0,0,,,-,0,0,0,-,1,0.25,4,0,0,2,12.5,0,0,0,-,,,,,,,,
2020-10-17,日立リヴァーレ,10,L,小池杏菜,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,5,3,65.0,,,,,,,,
2020-10-17,日立リヴァーレ,13,,長内美和子,5,■,■,■,■,■,45,22,4,48.9,40.0,4.40,3,0,0,0.0,0,-,20,1,3,6,8.8,30,11,8,50.0,,,,,,,,
2020-10-17,日立リヴァーレ,14,,入澤まい,5,■,■,■,■,■,16,8,2,50.0,37.5,1.60,0,0,0,-,2,0.40,17,0,3,7,5.9,0,0,0,-,,,,,,,,
2020-10-17,日立リヴァーレ,17,,オクム大庭冬美ハウィ,3,■,■,■,nan,nan,23,10,1,43.5,39.1,3.33,6,4,0,66.7,0,-,10,0,1,3,5.0,0,0,0,-,,,,,,,,
2020-10-17,日立リヴァーレ,19,,野中瑠衣,4,nan,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,8,1,0,3,21.9,0,0,0,-,,,,,,,,
2020-10-17,日立リヴァーレ,21,,雑賀恵斗,3,■,■,■,nan,nan,3,1,0,33.3,33.3,0.33,0,0,0,-,0,-,6,0,0,3,12.5,0,0,0,-,,,,,,,,
2020-10-17,日立リヴァーレ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,158,71,10,44.9,38.6,14.20,11,5,0,45.5,12,2.40,107,4,13,35,8.9,86,36,23,55.2,166,60,9,36.1,5,1.00,4.0,53.3
2020-10-17,ヴィクトリーナ姫路,1,,貞包里穂,2,■,■,nan,nan,nan,9,1,0,11.1,11.1,0.50,0,0,0,-,0,-,6,0,0,1,4.2,6,3,1,58.3,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,2,,櫻井美樹,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,0,-,12,0,1,2,2.1,0,0,0,-,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,4,L,花井萌里,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,9,4,57.9,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,5,,長野有紗,2,nan,nan,nan,□,■,5,1,1,20.0,0.0,0.50,0,0,0,-,1,0.50,3,0,0,1,8.3,0,0,0,-,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,6,,金杉由香,4,nan,□,■,■,■,32,13,2,40.6,34.4,3.25,2,1,0,50.0,1,0.25,14,0,2,6,7.1,9,1,2,22.2,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,7,,堀込奈央,4,□,□,nan,□,□,0,0,0,,,-,0,0,0,-,0,-,7,0,0,3,10.7,0,0,0,-,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,8,,宮地佳乃,2,■,nan,nan,nan,□,14,1,0,7.1,7.1,0.50,1,0,0,0.0,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,9,,吉岡可奈,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,10,,脇田美怜,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,11,,荒谷栞,4,■,■,■,■,nan,13,3,1,23.1,15.4,0.75,0,0,0,-,1,0.25,14,0,1,3,3.6,0,0,0,-,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,12,,孫田菜奈,3,□,□,nan,□,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,13,,田中咲希,5,□,■,■,■,■,27,16,0,59.3,59.3,3.20,0,0,0,-,0,-,10,0,1,3,5.0,12,4,1,37.5,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,14,,佐々木千紘,5,■,■,■,■,■,15,9,1,60.0,53.3,1.80,0,0,0,-,1,0.20,14,0,5,2,-5.4,0,0,0,-,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,15,,松本愛希穂,5,■,■,■,■,■,50,16,4,32.0,24.0,3.20,0,0,0,-,1,0.20,17,0,1,5,5.9,45,24,7,61.1,,,,,,,,
2020-10-17,ヴィクトリーナ姫路,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,166,60,9,36.1,30.7,12.00,3,1,0,33.3,5,1.00,99,0,11,27,4.0,91,41,15,53.3,158,71,10,44.9,12,2.40,8.9,55.2
2020-10-17,久光スプリングス,1,,長岡望悠,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,久光スプリングス,2,,井上美咲,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.33,16,1,2,7,14.1,0,0,0,-,,,,,,,,
2020-10-17,久光スプリングス,4,,岩坂名奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,久光スプリングス,5,,井上愛里沙,3,■,■,■,nan,nan,49,17,2,34.7,30.6,5.67,1,0,0,0.0,2,0.67,11,0,1,4,6.8,12,4,2,41.7,,,,,,,,
2020-10-17,久光スプリングス,6,,石井優希,3,■,■,■,nan,nan,45,18,0,40.0,40.0,6.00,3,1,0,33.3,2,0.67,14,1,0,6,17.9,9,2,1,27.8,,,,,,,,
2020-10-17,久光スプリングス,7,,加藤光,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,,,,,,,,
2020-10-17,久光スプリングス,10,,座安琴希,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,5,1,91.7,,,,,,,,
2020-10-17,久光スプリングス,11,,栄絵里香,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-10-17,久光スプリングス,12,,今村優香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,久光スプリングス,14,,中川美柚,3,■,■,■,nan,nan,19,6,1,31.6,26.3,2.00,0,0,0,-,0,-,16,1,1,4,10.9,13,2,3,26.9,,,,,,,,
2020-10-17,久光スプリングス,16,,アキンラデウォフォルケ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,久光スプリングス,17,,濱松明日香,3,■,■,■,nan,nan,18,9,0,50.0,50.0,3.00,0,0,0,-,2,0.67,6,0,1,3,8.3,0,0,0,-,,,,,,,,
2020-10-17,久光スプリングス,18,L,戸江真奈,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,24,14,2,62.5,,,,,,,,
2020-10-17,久光スプリングス,20,,荒木彩花,3,■,■,■,nan,nan,7,0,0,0.0,0.0,-,0,0,0,-,0,-,6,0,1,2,4.2,2,0,1,25.0,,,,,,,,
2020-10-17,久光スプリングス,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,139,50,3,36.0,33.8,16.67,4,1,0,25.0,7,2.33,76,3,6,27,10.9,66,27,10,48.5,139,51,8,36.7,8,2.67,12.2,57.2
2020-10-17,デンソーエアリービーズ,1,,中元南,2,■,nan,□,nan,nan,16,5,1,31.2,25.0,2.50,1,0,0,0.0,0,-,2,0,0,1,12.5,8,4,0,50.0,,,,,,,,
2020-10-17,デンソーエアリービーズ,5,,大竹里歩,1,nan,nan,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,3,0,0,2,16.7,0,0,0,-,,,,,,,,
2020-10-17,デンソーエアリービーズ,6,,田代佳奈美,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,16,2,1,10,26.6,0,0,0,-,,,,,,,,
2020-10-17,デンソーエアリービーズ,8,,田原愛里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,デンソーエアリービーズ,9,,小口樹葉,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,デンソーエアリービーズ,10,,森谷史佳,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,,,,,,,,
2020-10-17,デンソーエアリービーズ,11,L,井上琴絵,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,7,1,68.2,,,,,,,,
2020-10-17,デンソーエアリービーズ,13,,奥村麻依,3,■,■,■,nan,nan,10,5,0,50.0,50.0,1.67,0,0,0,-,2,0.67,12,1,0,2,12.5,1,1,0,100.0,,,,,,,,
2020-10-17,デンソーエアリービーズ,15,,鍋谷友理枝,3,□,■,■,nan,nan,26,7,2,26.9,19.2,2.33,2,1,1,50.0,2,0.67,9,0,2,5,8.3,16,8,1,53.1,,,,,,,,
2020-10-17,デンソーエアリービーズ,16,,横田真未,3,■,■,■,nan,nan,11,5,1,45.5,36.4,1.67,0,0,0,-,1,0.33,6,0,1,2,4.2,0,0,0,-,,,,,,,,
2020-10-17,デンソーエアリービーズ,20,,東谷玲衣奈,2,nan,□,■,nan,nan,15,6,1,40.0,33.3,3.00,2,0,1,0.0,1,0.50,4,0,0,1,6.2,13,6,1,50.0,,,,,,,,
2020-10-17,デンソーエアリービーズ,21,,工藤嶺,2,■,■,nan,nan,nan,17,7,0,41.2,41.2,3.50,3,0,0,0.0,1,0.50,4,0,0,1,6.2,15,7,2,53.3,,,,,,,,
2020-10-17,デンソーエアリービーズ,22,,プラマーキャサリン,3,■,■,□,nan,nan,28,10,2,35.7,28.6,3.33,5,2,1,40.0,1,0.33,8,0,2,3,3.1,1,1,0,100.0,,,,,,,,
2020-10-17,デンソーエアリービーズ,24,,兵頭由希,3,□,□,■,nan,nan,14,5,1,35.7,28.6,1.67,3,1,0,33.3,0,-,4,0,0,1,6.2,4,3,0,75.0,,,,,,,,
2020-10-17,デンソーエアリービーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,139,51,8,36.7,30.9,17.00,16,4,3,25.0,8,2.67,72,3,6,29,12.2,69,37,5,57.2,139,50,3,36.0,7,2.33,10.9,48.5
2020-10-17,埼玉上尾メディックス,3,,サンティアゴアライジャダフニ,3,■,■,■,nan,nan,18,10,0,55.6,55.6,3.33,0,0,0,-,0,-,8,0,2,1,-3.1,1,0,0,0.0,,,,,,,,
2020-10-17,埼玉上尾メディックス,4,,堀江美志,3,■,□,□,nan,nan,22,6,2,27.3,18.2,2.00,1,0,0,0.0,0,-,6,0,0,2,8.3,5,0,1,10.0,,,,,,,,
2020-10-17,埼玉上尾メディックス,5,,山崎のの花,3,□,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,6,0,0,1,4.2,0,0,0,-,,,,,,,,
2020-10-17,埼玉上尾メディックス,6,,山口珠李,3,■,■,■,nan,nan,10,2,2,20.0,0.0,0.67,0,0,0,-,1,0.33,7,0,0,2,7.1,0,0,0,-,,,,,,,,
2020-10-17,埼玉上尾メディックス,7,L,山岸あかね,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,5,3,46.4,,,,,,,,
2020-10-17,埼玉上尾メディックス,8,,吉野優理,3,■,■,■,nan,nan,29,9,5,31.0,13.8,3.00,3,0,1,0.0,1,0.33,5,0,2,2,0.0,30,6,6,30.0,,,,,,,,
2020-10-17,埼玉上尾メディックス,9,,内瀬戸真実,3,■,■,■,nan,nan,15,6,0,40.0,40.0,2.00,2,1,0,50.0,0,-,16,0,1,5,6.2,16,9,4,68.8,,,,,,,,
2020-10-17,埼玉上尾メディックス,10,,佐藤優花,1,nan,nan,■,nan,nan,8,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,埼玉上尾メディックス,11,,青柳京古,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,埼玉上尾メディックス,14,,椎名真子,2,□,■,nan,nan,nan,9,1,0,11.1,11.1,0.50,1,0,0,0.0,0,-,3,0,2,0,-16.7,0,0,0,-,,,,,,,,
2020-10-17,埼玉上尾メディックス,15,,ジョセフシャイナ,1,nan,nan,□,nan,nan,3,0,0,0.0,0.0,-,1,0,0,0.0,0,-,2,0,0,1,12.5,0,0,0,-,,,,,,,,
2020-10-17,埼玉上尾メディックス,18,,権田寛奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,埼玉上尾メディックス,20,,田川紘美,2,■,nan,□,nan,nan,1,1,0,100.0,100.0,0.50,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-10-17,埼玉上尾メディックス,23,,大室璃紗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,埼玉上尾メディックス,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,116,35,9,30.2,22.4,11.67,8,1,1,12.5,2,0.67,54,0,7,14,3.2,66,20,14,40.9,107,38,4,35.5,10,3.33,19.5,60.6
2020-10-17,東レアローズ,1,,井上奈々朱,3,■,■,■,nan,nan,7,3,0,42.9,42.9,1.00,0,0,0,-,5,1.67,10,1,1,5,20.0,0,0,0,-,,,,,,,,
2020-10-17,東レアローズ,2,,大野果歩,3,■,■,■,nan,nan,7,2,1,28.6,14.3,0.67,0,0,0,-,2,0.67,13,1,0,5,17.3,0,0,0,-,,,,,,,,
2020-10-17,東レアローズ,3,,伊藤望,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,東レアローズ,4,,白井美沙紀,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,8,0,2,2,0.0,0,0,0,-,,,,,,,,
2020-10-17,東レアローズ,5,,中田紫乃,2,□,□,nan,nan,nan,3,0,0,0.0,0.0,-,0,0,0,-,1,0.50,0,0,0,0,-,2,0,2,50.0,,,,,,,,
2020-10-17,東レアローズ,6,L,中島未来,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,東レアローズ,7,,クランヤナ,3,■,■,■,nan,nan,33,13,0,39.4,39.4,4.33,4,3,0,75.0,0,-,14,1,1,5,14.3,0,0,0,-,,,,,,,,
2020-10-17,東レアローズ,8,,小川愛里奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,東レアローズ,9,,黒後愛,3,■,■,■,nan,nan,30,9,2,30.0,23.3,3.00,6,2,2,33.3,2,0.67,6,0,1,3,8.3,22,8,6,50.0,,,,,,,,
2020-10-17,東レアローズ,10,,関菜々巳,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,1,1,2,25.0,0,0,0,-,,,,,,,,
2020-10-17,東レアローズ,11,L,水杉玲奈,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,9,1,73.1,,,,,,,,
2020-10-17,東レアローズ,12,,石川真佑,3,■,■,■,nan,nan,26,11,1,42.3,38.5,3.67,4,1,1,25.0,0,-,16,4,1,9,37.5,10,7,0,70.0,,,,,,,,
2020-10-17,東レアローズ,13,,野呂加南子,1,nan,nan,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,東レアローズ,14,,大崎琴未,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,,,,,,,,
2020-10-17,東レアローズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,107,38,4,35.5,31.8,12.67,14,6,3,42.9,10,3.33,73,8,7,32,19.5,47,24,9,60.6,116,35,9,30.2,2,0.67,3.2,40.9
2020-10-17,JTマーヴェラス,1,,芥川愛加,3,■,■,■,nan,nan,9,4,0,44.4,44.4,1.33,0,0,0,-,0,-,5,0,0,2,10.0,1,0,0,0.0,,,,,,,,
2020-10-17,JTマーヴェラス,2,,林琴奈,3,■,■,■,nan,nan,26,11,1,42.3,38.5,3.67,2,1,0,50.0,1,0.33,16,2,1,5,18.8,18,14,2,83.3,,,,,,,,
2020-10-17,JTマーヴェラス,3,,小川杏奈,3,■,■,■,nan,nan,6,3,0,50.0,50.0,1.00,0,0,0,-,0,-,11,1,0,3,15.9,1,0,0,0.0,,,,,,,,
2020-10-17,JTマーヴェラス,4,,橘井友香,3,□,□,□,nan,nan,25,9,2,36.0,28.0,3.00,0,0,0,-,0,-,3,1,1,1,33.3,0,0,0,-,,,,,,,,
2020-10-17,JTマーヴェラス,5,,柴田真果,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,8,0,0,2,6.2,0,0,0,-,,,,,,,,
2020-10-17,JTマーヴェラス,6,,田中瑞稀,3,■,■,■,nan,nan,36,8,2,22.2,16.7,2.67,3,0,1,0.0,0,-,11,0,2,0,-4.5,27,18,4,74.1,,,,,,,,
2020-10-17,JTマーヴェラス,8,,籾井あき,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,7,0,0,2,7.1,0,0,0,-,,,,,,,,
2020-10-17,JTマーヴェラス,9,,榊原菜那,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,JTマーヴェラス,10,,ドルーズアンドレア,3,■,■,■,nan,nan,42,22,2,52.4,47.6,7.33,20,8,2,40.0,0,-,6,1,0,1,20.8,0,0,0,-,,,,,,,,
2020-10-17,JTマーヴェラス,11,,目黒優佳,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,7,1,1,0,10.7,4,4,0,100.0,,,,,,,,
2020-10-17,JTマーヴェラス,12,,深萱知代,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,JTマーヴェラス,13,,西川有喜,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,JTマーヴェラス,14,,ヒックマンジャスティス,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-17,JTマーヴェラス,15,L,小幡真子,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,7,2,88.9,,,,,,,,
